"Response ID","Date submitted","Last page","Start language","Seed","Rust is important to my work or projects (1 disagree - 5 agree)","Rust will become more important in my work or projects in the future.  (1 disagree - 5 agree)","Rust will become more important to other developers and projects in the future (1 disagree - 5 agree)","I develop software using Rust","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [MacOS]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Windows]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Linux (Fedora, OpenSUSE, Ubuntu, Arch, etc)]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Other Platform]","On your primary development platform, how did you install your Rust toolchain?","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Integrated Development Environments with Language Features (syntax highlight, errors, completion, type checking)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Debugging tools (lldb, gdb)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Online Documentation (doc.rust-lang.org, docs.rs)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Offline Documentation (local) ]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Build Caching (sccache)]","Do you run, provide, distribute or deploy Rust software?","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Linux]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [MacOS]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Windows]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Rust Library - No specific target (crates.io)]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Other]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Local use only (cargo build / cargo run)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using rustup inside the builder]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using a packaged rust (dnf, zypper, apt, pacman, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Packaged for a package manager (rpm, deb, brew, msi, pkg, dmg, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Provided as a library (source, crates.io)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Other Process]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Unknown]","In your release process, how do you manage your Rust dependencies?","In your ideal workflow, how would you prefer to manager your Rust dependencies? ","How do you manage security updates in your Rust dependencies? [Security scanners (e.g. cargo audit)]","How do you manage security updates in your Rust dependencies? [Frequent update of all dependencies (e.g. cargo outdated)]","How do you manage security updates in your Rust dependencies? [Don't actively follow security issues in dependencies]","How do you manage security updates in your Rust dependencies? [Rely on external source to manage (ie distribution packaged rust libraries)]","How do you manage security updates in your Rust dependencies? [Unknown]"
"930","","","en","489836653","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"933","","","en","499620237","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"936","","","en","1254526466","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"939","","","en","812004909","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"942","1980-01-01 00:00:00","3","en","1650899424","3","4","5","Yes","No","Yes","No","No","rustup","5","5","4","2","1","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"945","1980-01-01 00:00:00","3","en","1091353710","4","5","5","Yes","Yes","No","Yes","No","rustup","5","4","5","5","3","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Package Manager provided libraries","Package Manager provided libraries","Yes","No","No","No","No"
"948","1980-01-01 00:00:00","3","en","468066397","5","5","5","Yes","Yes","No","Yes","No","rustup","4","2","5","5","1","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Online download from crates.io","Online download from crates.io","No","Yes","No","No","No"
"951","","2","en","1542654693","1","3","5","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"954","","","en","1118372178","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"957","1980-01-01 00:00:00","3","en","811745645","2","3","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"960","1980-01-01 00:00:00","3","en","550926514","2","4","5","Yes","Yes","No","Yes","No","rustup","5","4","5","2","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"963","","","en","1000227001","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"969","","","en","1191430134","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"972","1980-01-01 00:00:00","3","en","205917310","5","5","5","Yes","No","No","Yes","No","rustup","5","1","5","1","1","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Package Manager provided libraries","Unsure","No","Yes","No","Yes","No"
"975","","","en","1926969716","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"978","1980-01-01 00:00:00","3","en","462397774","3","4","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"981","","","en","1781668787","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"984","","","en","1340597415","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"987","","","en","63794803","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"990","1980-01-01 00:00:00","3","en","1351421939","4","5","4","Yes","No","Yes","No","No","rustup","5","1","5","1","1","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"993","","","en","2126836279","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"996","","","en","2020607389","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"999","1980-01-01 00:00:00","3","en","1874170525","2","4","4","Yes","No","No","Yes","No","rustup","5","2","5","3","3","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1002","1980-01-01 00:00:00","3","en","482216582","4","4","3","Yes","Yes","Yes","Yes","No","rustup","5","3","5","2","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1005","1980-01-01 00:00:00","3","en","488557490","4","5","5","Yes","No","Yes","Yes","No","rustup","5","4","5","3","1","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"1008","1980-01-01 00:00:00","3","en","2138242686","3","4","4","Yes","Yes","No","No","No","rustup","5","3","5","","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1011","","","en","17894365","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1014","1980-01-01 00:00:00","3","en","760214780","1","2","3","No","N/A","N/A","N/A","N/A","","","","","","","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","","","N/A","N/A","N/A","N/A","N/A"
"1017","","","en","1628556006","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1020","1980-01-01 00:00:00","3","en","2115314979","4","5","5","Yes","Yes","No","Yes","Yes","rustup","3","3","5","2","1","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"1023","1980-01-01 00:00:00","3","en","1496733289","4","5","5","Yes","No","Yes","No","No","rustup","4","1","5","4","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1026","1980-01-01 00:00:00","3","en","1454929573","3","4","4","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","3","4","4","3","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1029","","","en","673167048","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1032","","1","en","1182991341","1","3","3","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1035","1980-01-01 00:00:00","3","en","1532317143","1","2","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1038","","1","en","526799966","5","5","5","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1041","1980-01-01 00:00:00","3","en","1601807114","3","5","5","Yes","No","No","Yes","No","rustup","4","5","5","2","5","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","Vendoring (bundled)","Vendoring (bundled)","Yes","No","No","No","No"
"1044","1980-01-01 00:00:00","3","en","1596574149","3","3","4","Yes","No","No","Yes","No","rustup","5","1","5","5","1","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1047","","","en","1475337132","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1050","","","en","1574786432","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1053","1980-01-01 00:00:00","3","en","481362349","5","4","4","Yes","No","Yes","Yes","No","rustup","5","3","4","1","","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"1056","1980-01-01 00:00:00","3","en","1451493133","5","5","3","Yes","No","Yes","Yes","No","rustup","5","4","3","1","2","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Online download from crates.io","Unsure","No","Yes","No","No","No"
"1059","1980-01-01 00:00:00","3","en","346839202","5","3","4","Yes","No","No","Yes","No","rustup","5","1","4","1","4","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","","","N/A","N/A","N/A","N/A","N/A"
"1062","1980-01-01 00:00:00","3","en","178072199","5","5","4","Yes","Yes","No","No","No","Package Manager (dnf, apt, brew, zypper, etc)","4","3","5","3","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1065","","","en","1263202483","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1068","","","en","291861214","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1071","1980-01-01 00:00:00","3","en","1901904821","5","5","5","Yes","No","No","Yes","No","rustup","5","2","5","1","5","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1074","1980-01-01 00:00:00","3","en","1944514550","4","4","4","Yes","No","No","Yes","No","rustup","4","2","5","2","1","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","","","N/A","N/A","N/A","N/A","N/A"
"1077","1980-01-01 00:00:00","3","en","153203093","5","5","3","Yes","Yes","No","Yes","No","rustup","5","5","5","1","2","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","Online download from crates.io","Vendoring (bundled)","Yes","Yes","No","No","No"
"1080","1980-01-01 00:00:00","3","en","481191014","5","5","2","Yes","No","No","Yes","No","rustup","5","5","5","1","5","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1083","","2","en","1948801096","5","5","5","Yes","Yes","No","Yes","No","rustup","5","5","5","1","3","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1086","1980-01-01 00:00:00","3","en","1912939243","5","5","5","Yes","No","Yes","Yes","No","rustup","5","4","5","2","3","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Online download from crates.io","Online download from crates.io","Yes","No","Yes","Yes","No"
"1089","1980-01-01 00:00:00","3","en","2016478016","3","5","3","Yes","No","No","Yes","Yes","Package Manager (dnf, apt, brew, zypper, etc)","5","5","5","1","3","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","No","Online download from crates.io","Unsure","No","No","Yes","No","No"
"1092","1980-01-01 00:00:00","3","en","1457847149","4","4","5","Yes","Yes","No","Yes","No","rustup","5","1","5","3","1","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"1095","1980-01-01 00:00:00","3","en","1664984527","4","4","4","Yes","No","No","Yes","No","rustup","5","1","5","3","","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1098","","1","en","1126915186","1","3","5","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1101","1980-01-01 00:00:00","3","en","1545801378","2","3","2","Yes","No","No","Yes","Yes","Other manual method","5","3","5","1","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1104","1980-01-01 00:00:00","3","en","1168803152","5","3","5","Yes","Yes","No","Yes","No","rustup","1","2","5","5","5","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Online download from crates.io","Satisfied with my existing process","Yes","No","No","No","No"
"1107","1980-01-01 00:00:00","3","en","1921072725","5","4","4","Yes","No","No","Yes","No","rustup","5","2","5","3","5","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1110","1980-01-01 00:00:00","3","en","228669161","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","4","5","3","1","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1113","1980-01-01 00:00:00","3","en","2051752318","2","4","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1116","1980-01-01 00:00:00","3","en","1572397906","4","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","5","1","5","5","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1119","1980-01-01 00:00:00","3","en","552182974","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","3","3","3","1","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Online download from crates.io","Satisfied with my existing process","No","No","Yes","No","No"
"1122","1980-01-01 00:00:00","3","en","1155441184","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","5","","5","5","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Vendoring (bundled)","Vendoring (bundled)","Yes","No","No","No","No"
"1125","1980-01-01 00:00:00","3","en","323265932","5","5","5","Yes","No","No","Yes","No","rustup","4","2","4","5","1","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"1128","","2","en","1152849422","2","4","5","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1131","1980-01-01 00:00:00","3","en","1202502500","4","5","5","Yes","No","No","Yes","No","rustup","4","2","5","2","","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Online download from crates.io","Vendoring (bundled)","No","No","Yes","No","No"
"1134","1980-01-01 00:00:00","3","en","7241314","5","5","5","Yes","No","Yes","Yes","No","rustup","5","5","5","2","1","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Online download from crates.io","Vendoring (bundled)","Yes","Yes","No","No","No"
"1137","1980-01-01 00:00:00","3","en","1176859893","5","4","4","Yes","No","No","Yes","No","rustup","5","2","5","1","2","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1140","1980-01-01 00:00:00","3","en","1634563234","4","5","4","Yes","Yes","No","Yes","No","rustup","5","2","4","1","3","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1143","1980-01-01 00:00:00","3","en","86924495","3","3","4","Yes","Yes","No","Yes","No","rustup","5","3","5","2","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1146","1980-01-01 00:00:00","3","en","613838170","5","5","5","Yes","No","No","Yes","No","rustup","5","1","5","2","4","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"1149","1980-01-01 00:00:00","3","en","959261966","5","3","4","Yes","No","No","Yes","No","rustup","5","1","5","4","1","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"1152","","","en","1763819073","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1155","1980-01-01 00:00:00","3","en","1385291183","5","5","4","Yes","No","Yes","Yes","No","rustup","5","4","5","3","3","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Online download from crates.io","Satisfied with my existing process","No","Yes","No","No","No"
"1161","1980-01-01 00:00:00","3","en","290939178","4","3","5","Yes","No","No","Yes","No","rustup","5","3","5","1","2","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"1164","","","en","1558820936","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1167","1980-01-01 00:00:00","3","en","1049570308","2","3","5","Yes","No","No","Yes","No","rustup","1","2","5","3","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1170","1980-01-01 00:00:00","3","en","1681971011","1","5","5","Yes","No","Yes","Yes","No","rustup","","","5","3","2","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1173","1980-01-01 00:00:00","3","en","1305461731","4","5","5","Yes","Yes","No","No","No","rustup","5","3","5","2","","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","Package Manager provided libraries","Satisfied with my existing process","Yes","Yes","No","No","No"
"1176","1980-01-01 00:00:00","3","en","467993192","5","5","4","Yes","Yes","Yes","Yes","No","rustup","5","4","5","3","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"1179","","","en","437071371","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1182","","2","en","2032247361","5","5","5","Yes","Yes","No","No","No","rustup","5","5","5","5","5","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1185","1980-01-01 00:00:00","3","en","1043034906","5","5","3","Yes","No","No","Yes","No","rustup","1","5","4","5","2","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1188","","","en","768323087","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1191","1980-01-01 00:00:00","3","en","414696386","4","5","3","Yes","No","No","Yes","No","rustup","3","2","5","1","","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"1194","","2","en","2098124397","1","5","5","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1197","1980-01-01 00:00:00","3","en","515612880","3","5","3","Yes","Yes","No","Yes","No","rustup","5","3","4","2","1","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Online download from crates.io","Vendoring (bundled)","No","Yes","No","No","No"
"1200","1980-01-01 00:00:00","3","en","1841692207","1","3","5","Yes","No","No","Yes","No","rustup","5","2","5","3","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1203","1980-01-01 00:00:00","3","en","1751636257","5","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","1","1","5","2","1","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","No","No","Online download from crates.io","Online download from crates.io","No","Yes","Yes","No","No"
"1206","1980-01-01 00:00:00","3","en","639810213","4","5","5","Yes","No","No","Yes","No","rustup","5","2","5","1","1","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"1209","1980-01-01 00:00:00","3","en","1991170602","5","5","5","Yes","No","No","Yes","No","rustup","5","2","5","3","","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No","Online download from crates.io","Unsure","No","Yes","Yes","No","No"
"1212","","","en","1594977454","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1215","1980-01-01 00:00:00","3","en","1934547738","3","5","5","Yes","Yes","No","No","No","rustup","3","4","4","1","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1218","1980-01-01 00:00:00","3","en","1705500465","4","4","4","Yes","No","No","Yes","No","rustup","5","3","4","2","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1221","1980-01-01 00:00:00","3","en","1616916067","1","4","5","Yes","No","No","Yes","No","rustup","5","4","5","5","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1224","","","en","1629628312","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1227","1980-01-01 00:00:00","3","en","1551627859","3","5","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1230","1980-01-01 00:00:00","3","en","63408326","5","5","5","Yes","Yes","No","Yes","Yes","rustup","5","3","5","1","1","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"1233","1980-01-01 00:00:00","3","en","275656230","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","5","5","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","Vendoring (bundled)","Satisfied with my existing process","Yes","Yes","No","Yes","No"
"1236","","","en","1374853202","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"1239","1980-01-01 00:00:00","3","en","1940998322","5","1","5","Yes","No","No","Yes","No","rustup","4","2","5","1","1","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"1242","","","en","137693875","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
